Season,No. in series,No. in season,Title_Text,Title_Link,Original air date,U.S. viewers (millions),Short Summary
Season 5,79,1,"""Dream a Little Dream of Me, Part 1""","https://greysanatomy.fandom.com/wiki/Dream_a_Little_Dream_of_Me,_Part_1","September 25, 2008",18.29,"It's snowing. Meredith has dreams of Derek dying. Derek moves in with Meredith, while Lexie develops an interest in George but realizes it may be futile. The chief is enraged by his number 12 status in a top hospitals list and begins to make the staff work harder. Meanwhile, Erica and Callie avoid each other but eventually decide to be awkward about being together. Cristina gets stabbed but is okay and kisses an Army Trauma Surgeon named Owen Hunt."
Season 5,80,2,"""Dream a Little Dream of Me, Part 2""","https://greysanatomy.fandom.com/wiki/Dream_a_Little_Dream_of_Me,_Part_2","September 25, 2008",18.31,The icicle is removed from Cristina's chest. Owen Hunt kisses her and leaves. The chief becomes fierce and tells everyone that the protocol is changing. Rose transfers to peds and Callie and Erica decide to give their relationship a shot. Meredith and Derek remain on track.
Season 5,81,3,"""Here Comes the Flood""",https://greysanatomy.fandom.com/wiki/Here_Comes_the_Flood,"October 9, 2008",14.54,"George attempts to re-take his exam, Lexie discovers she has feelings for George and the hospital suffers severe flooding."
Season 5,82,4,"""Brave New World""",https://greysanatomy.fandom.com/wiki/Brave_New_World,"October 16, 2008",14.57,Alex and Izzie fight over a patient. Cristina discovers the less challenging Dermatology. George receives the results of his exam and Lexie fails to be noticed by him.
Season 5,83,5,"""There's No 'I' in Team""",https://greysanatomy.fandom.com/wiki/There%27s_No_%27I%27_in_Team,"October 23, 2008",14.21,"Bailey orchestrates a massive 12-person simultaneous ""domino"" surgery with six separate kidney transplants. Alex and Izzie share a kiss, Callie sleeps with Mark and a rift comes between Meredith and Derek when their clinical trial is published and called the Shepherd method with no inclusion of Meredith."
Season 5,84,6,"""Life During Wartime""",https://greysanatomy.fandom.com/wiki/Life_During_Wartime,"October 30, 2008",15.05,"Dr. Owen Hunt returns to Seattle Grace, being named as the new Head of Trauma Surgery - all part of the Chief's effort to raise the #12 ranking, and it works, raising Seattle Grace back to a Level I Trauma Center. Hunt uses his unorthodox treatment and teaching methods, rubbing Izzie, Derek, Mark, and Cristina the wrong way. In keeping with his spirit of raising the #12 rank, the Chief has Bailey and Hahn perform tumor resection deemed impossible by many other hospitals. Callie tries to find out who she really is."
Season 5,85,7,"""Rise Up""",https://greysanatomy.fandom.com/wiki/Rise_Up,"November 6, 2008",15.63,"George attempts to save Stan the dummy. Mark tries to sleep with Cristina, Lexie realizes that she needs to take matters into her own hands if she wants to become an educated doctor and Izzie realizes a connection between a patient at the hospital and herself. Erica leaves Seattle Grace."
Season 5,86,8,"""These Ties That Bind""",https://greysanatomy.fandom.com/wiki/These_Ties_That_Bind,"November 13, 2008",15.59,"An old friend of Meredith by the name of Sadie appears and causes some tension with Cristina. Bailey attempts to woo a cardiothoracic surgeon Virginia Dixon, Callie breaks down crying. Izzie confides in a patient about Denny and Cristina become suspicious about some of the interns."
Season 5,87,9,"""In the Midnight Hour""",https://greysanatomy.fandom.com/wiki/In_the_Midnight_Hour,"November 20, 2008",15.74,"Cristina and Meredith come to Lexie's aid after a routine surgery goes wrong, Izzie is distressed over the appearance of Denny, Derek and Mark take a case which reminds them of their childhood as all the doctors admit they need somebody."
Season 5,88,10,"""All By Myself""",https://greysanatomy.fandom.com/wiki/All_By_Myself,"December 4, 2008",15.15,"After a long period of waiting, thesolo-surgerywinner is finally chosen, Cristina. But as punishment for recent events, she is not allowed to perform it and must choose one of her fellow residents to replace her instead. To make matters worse, the Chief is demanding she continue to woo Dr. Dixon. Mark and Bailey attempt to reconstruct a larynx while Lexie and Mark flirt under Bailey's radar and the ER has two teenage sisters involved in a car crash with devastating consequences for one of them"
Season 5,89,11,"""Wish You Were Here""",https://greysanatomy.fandom.com/wiki/Wish_You_Were_Here,"January 8, 2009",13.71,Izzie celebrates her birthday. Both Callie and Mark try to avoid Sadie and Lexie. Bailey is introduced toArizona Robbinsa perky pediatric surgeon and Meredith and Cristina continue to fight while they treat a criminal.
Season 5,90,12,"""Sympathy for the Devil""",https://greysanatomy.fandom.com/wiki/Sympathy_for_the_Devil,"January 15, 2009",12.95,"Derek's mother comes to visit, and Lexie and Sloan still try to keep their relationship a secret. Bailey and Arizona clash while Derek, Cristina, and Meredith treat a prisoner."
Season 5,91,13,"""Stairway to Heaven""",https://greysanatomy.fandom.com/wiki/Stairway_to_Heaven,"January 22, 2009",14.25,"Meredith and Miranda each cross a line, William Dunn regrets his decision and Izzie finally confronts what Denny's appearance means."
Season 5,92,14,"""Beat Your Heart Out""",https://greysanatomy.fandom.com/wiki/Beat_Your_Heart_Out,"February 5, 2009",15.2,"Izzie has the interns do a barrage of tests on her to find out what's wrong with her. While the Chief tries to get Bailey to stay in general surgery, Dr. Dixon and Dr. Robbins both tell her that she is really meant for peds. Lexie decides she wants to go public with Mark, withholding everything from him until he does, and Arizona kisses Callie. Knowing that Meredith is ready for marriage, Derek gets ready to propose, but his plans for a grand gesture are interrupted."
Season 5,93,15,"""Before and After""",https://greysanatomy.fandom.com/wiki/Before_and_After,"February 12, 2009",15.7,"Addison needs Derek to operate on Archer, but after consultation, Derek cannot do it. Following a push from Sam, Derek changes his mind, even going as far as calling Archer a coward to let him do it. Cristina finds out Owen was previously engaged, and finds out more about Owen's past. Izzie arranges a game for the interns, in an attempt to remind them how much they enjoy medicine."
Season 5,94,16,"""An Honest Mistake""",https://greysanatomy.fandom.com/wiki/An_Honest_Mistake,"February 19, 2009",15.39,"Derek's confidence is shaken like never before as he faces off with Addison over what treatment is best for their dying pregnant patient, Jen. Cristina calls the abilities of a renowned surgeon into question after she botches a standard procedure. Bailey, who has decided to pursue a fellowship in Pediatrics, is appalled by the Chief's less-than-stellar recommendation letter. Izzie gets some bad news and Callie asks Arizona out on a date."
Season 5,95,17,"""I Will Follow You Into the Dark""",https://greysanatomy.fandom.com/wiki/I_Will_Follow_You_Into_the_Dark,"March 12, 2009",13.54,"After learning at a deposition that more of his patients have died than survived, Derek leaves both the hospital and the house, even as Meredith refuses to give up on him. Meanwhile Bailey and the Chief continue to bicker over her peds fellowship until his wife, Adele, is called in, thoroughly annoyed at the both of them. The interns make a disturbing breakthrough on ""Patient X,"" unaware that the charts they're looking at are actually Izzie's, prompting Izzie to confide in the most unlikely of people."
Season 5,96,18,"""Stand By Me""",https://greysanatomy.fandom.com/wiki/Stand_By_Me,"March 19, 2009",14.67,"The OR board is a mess and the Chief is falling apart without Derek. Bailey tries to help, but inadvertently ends up losing two doctors to Shepherd. George and Meredith face their first ""Intern Drama"" while Sloan performs an extremely rare facial transplant and Lexie is being judged by her peers. Following Izzie's confession, Cristina cannot focus and to add to the chaos, she is awarded her first solo surgery."
Season 5,97,19,"""Elevator Love Letter""",https://greysanatomy.fandom.com/wiki/Elevator_Love_Letter,"March 26, 2009",16.1,"The pressure is on for Derek as his first surgery back is part of Izzie's treatment, while Alex and George individually try to cope with their feelings for Izzie, as her boyfriend and her best friend, and her diagnosis. Izzie knits, as is alone for the day because nobody comes to visit her. Owen's PTSD hurts Cristina again, this time more violently to the concern of Callie and Meredith. Mark, Karev and Lexie try to keep a patient alive although her family are fed up of her being ""almost dead"" every month. Derek and Meredith get a happy ending as Cristina loses her own happy ending."
Season 5,98,20,"""Sweet Surrender""",https://greysanatomy.fandom.com/wiki/Sweet_Surrender,"April 23, 2009",13.55,"On her day off, Bailey cares for a dying child. Izzie gets sicker. Lexie doesn't stop eating from the stress of Derek and Mark not being friends, Meredith tries on dresses, George and Alex bicker, Owen takes an interest in George, Cristina avoids Owen and Callie's dad comes to visit."
Season 5,99,21,"""No Good at Saying Sorry (One More Chance)""",https://greysanatomy.fandom.com/wiki/No_Good_at_Saying_Sorry_(One_More_Chance),"April 30, 2009",14.12,"Thatcher comes to Seattle Grace to make amends, at the same time Izzie's mother comes to visit. Owen ignores Cristina all day, tension rises between Richard and Meredith and the hospital gets busy treating a man who was shot by his six year old daughter."
Season 5,100,22,"""What a Difference a Day Makes""",https://greysanatomy.fandom.com/wiki/What_a_Difference_a_Day_Makes,"May 7, 2009",15.33,"The 100th episode! Meredith and Derek prepare for their wedding for later that day. Izzie starts to see Denny again, Arizona and Callie have relationship issues and Owen refuses to give up on George as a few graduation students are admitted."
Season 5,101,23,"""Here's to Future Days""",https://greysanatomy.fandom.com/wiki/Here%27s_to_Future_Days,"May 14, 2009",15.58,"Izzie spends some time with a fellow cancer patient while contemplating whether or not to undergo a risky surgery, as Mark is ready to take his relationship with Lexie to the next level and a patient makes Owen reassess his place at Seattle Grace."
Season 5,102,24,"""Now or Never""",https://greysanatomy.fandom.com/wiki/Now_or_Never,"May 14, 2009",17.12,"George delivers stunning news to Bailey, sending shockwaves throughout the hospital, and Izzie’s friends anxiously await her recovery from surgery. Meanwhile Bailey is surprisingly displeased after being accepted into the pediatric fellowship program, and the victim of a near-fatal traffic accident brings the talents of Seattle Grace’s doctors together."
Season 6,103,1,"""Good Mourning""",https://greysanatomy.fandom.com/wiki/Good_Mourning,"September 24, 2009",17.03,"The hospital staff is left to deal with the aftermath of George's passing. Hitting the staff hard, they all find unique ways to get through the various stages of grief. George's mom returns, faced with the difficult task of deciding what to do with his organs."
Season 6,104,2,"""Goodbye""",https://greysanatomy.fandom.com/wiki/Goodbye,"September 24, 2009",17.03,"Time has passed... Everyone is struggling after losing one of their own and are turning to any distraction they can find. Meredith and Derek seem to be consummating their marriage anywhere and everywhere, while Cristina and Owen have been instructed to abstain from sex by Dr. Wyatt."
Season 6,105,3,"""I Always Feel Like Somebody's Watchin' Me""",https://greysanatomy.fandom.com/wiki/I_Always_Feel_Like_Somebody%27s_Watchin%27_Me,"October 1, 2009",15.69,"Several weeks after her near-death experience, a recovering Izzie returns to work. Meanwhile, nervous that there will be layoffs in the hospital in the wake of an announcement from the Chief, the Seattle Grace residents compete to survive the cuts, including Cristina, who attempts to work alongside Arizona in pediatrics. And Bailey and Alex's patient's already complex case is further complicated by her schizophrenic son."
Season 6,106,4,"""Tainted Obligation""",https://greysanatomy.fandom.com/wiki/Tainted_Obligation,"October 8, 2009",14.13,"When Meredith and Lexie's father, Thatcher, returns to the hospital with a failed liver, it's up to Meredith to save his life as Lexie is not a match for him. Meanwhile, Izzie empathizes with a patient riddled with tumors, as Mark, annoyed with Cristina's competitive zeal, tricks her into assisting on an unusual surgery."
Season 6,107,5,"""Invasion""",https://greysanatomy.fandom.com/wiki/Invasion,"October 15, 2009",13.79,"The residents of Seattle Grace and Mercy West vie for surgeries and their careers as day one of the hospital merger begins. Meanwhile, Arizona stands by an enraged Callie when her father, Mr. Torres, employs a priest to help convince her to date men, and Izzie experiences the brunt of her new surgical competition."
Season 6,108,6,"""I Saw What I Saw""",https://greysanatomy.fandom.com/wiki/I_Saw_What_I_Saw,"October 22, 2009",15.4,"After a burn victim unexpectedly dies in the midst of a chaotic ER, the Chief and board member Jennings interrogate the residents to find the culprit, as all the Mercy West and Seattle Grace residents defend their actions in an effort to save their jobs."
Season 6,109,7,"""Give Peace a Chance""",https://greysanatomy.fandom.com/wiki/Give_Peace_a_Chance,"October 29, 2009",13.74,"When Isaac, the hospital lab tech, has an inoperable tumor wrapped around his spinal cord, he turns to Dr. Derek Shepherd to do the impossible, and Derek tests the Chief's authority when Richard objects to moving forward with the risky surgery."
Season 6,110,8,"""Invest in Love""",https://greysanatomy.fandom.com/wiki/Invest_in_Love,"November 5, 2009",13.95,"A generous donation is offered to Seattle Grace by the parents of Arizona's 10-year-old patient. However, when his condition worsens, she finds herself in a conflict of interests. Meanwhile, Cristina tests her boundaries with Owen at the hospital, and adding insult to injury, Alex is left with all of Izzie's hospital bills to contend with."
Season 6,111,9,"""New History""",https://greysanatomy.fandom.com/wiki/New_History,"November 12, 2009",14.87,"When Owen recruits his fellow Iraqi War vet, Dr. Teddy Altman, as the new cardiothoracic surgeon, Cristina questions Teddy's abilities in the OR and the nature of their past relationship. Meanwhile, Izzie returns to Seattle Grace with her high school mentor seeking treatment for his dementia, and the stress of Richard's responsibilities, post-merger, are taking their toll."
Season 6,112,10,"""Holidaze""",https://greysanatomy.fandom.com/wiki/Holidaze,"November 19, 2009",14.07,"As Thanksgiving, Christmas, and New Year's pass, Miranda is visited by her father, William, who disapproves of her choices in life. Meanwhile, Mark and Lexie must cope with the shocking arrival of a woman from his past, and Thatcher Grey questions the Chief's recent behavior as Meredith comes to his defense."
Season 6,113,11,"""Blink""",https://greysanatomy.fandom.com/wiki/Blink,"January 14, 2010",12.78,"Mark flies Addison to Seattle to help with a difficult procedure on his pregnant daughter, Sloan, Owen questions Teddy's motives when she assigns Cristina the lead on a complicated surgery, and Derek's suspicions are raised when the Chief recruits Meredith to assist with a high profile operation."
Season 6,114,12,"""I Like You So Much Better When You're Naked""",https://greysanatomy.fandom.com/wiki/I_Like_You_So_Much_Better_When_You%27re_Naked,"January 21, 2010",12.7,"After learning of Richard's drinking problem, Derek confronts him for the sake of his friend and the hospital, Izzie returns, hoping to reconcile with Alex, and tensions run high between Teddy, Cristina, and Owen in the aftermath of Cristina's startling confession."
Season 6,115,13,"""State of Love and Trust""",https://greysanatomy.fandom.com/wiki/State_of_Love_and_Trust,"February 4, 2010",12.55,"As Derek begins his role as interim chief, he faces a potential lawsuit when Bailey and Meredith's patient awakens from anesthesia mid-surgery. Meanwhile, Teddy refuses to place Cristina on her service, as Arizona tests Alex out in Pediatrics, and Mark refuses to speak to a heartbroken Lexie."
Season 6,116,14,"""Valentine's Day Massacre""",https://greysanatomy.fandom.com/wiki/Valentine%27s_Day_Massacre,"February 11, 2010",12.74,"It's Valentine's Day, and the doctors must treat dozens of injured people after the roof collapses at a popular romantic restaurant. Derek tries to manage his busy schedule as Chief of Surgery. Meredith wrestles with her new duties as the Chief's wife and Mark and Callie team up to convince Sloan to do the right thing for her baby."
Season 6,117,15,"""The Time Warp""",https://greysanatomy.fandom.com/wiki/The_Time_Warp,"February 18, 2010",10.27,"In his new role as Chief, Derek restores the hospital lecture series, and Richard, Bailey, and Callie present to the group pivotal surgical cases from their pasts - Bailey reflects on her first days as a shy resident, Callie looks back on a polio case, and Richard recalls a case in which he and Ellis worked on a patient diagnosed with GRID, a virus later called AIDS."
Season 6,118,16,"""Perfect Little Accident""",https://greysanatomy.fandom.com/wiki/Perfect_Little_Accident,"March 4, 2010",11.83,"When famous surgeon Dr. Harper Avery is rushed to Seattle Grace Mercy West Hospital, the staff is surprised to discover that one of their own is related to this legend, and his unorthodox request for his surgery causes tensions between Derek and Richard. Meanwhile, Callie and Arizona try to help Teddy and Sloan move on from their pasts and find greener pastures."
Season 6,119,17,"""Push""",https://greysanatomy.fandom.com/wiki/Push,"March 11, 2010",10.94,"A patient who needs an extremely difficult surgery comes to Seattle Grace, and it's Richard and Owen who vie for the opportunity to tackle it. But the decision lies in the hands of Derek, who deems that Owen should take on the surgery, leaving Richard bitter. Meanwhile, Bailey deals with her own personal struggles when she nervously prepares for another date with Ben."
Season 6,120,18,"""Suicide is Painless""",https://greysanatomy.fandom.com/wiki/Suicide_is_Painless,"March 25, 2010",11.57,"When Teddy's patient seeks to end treatment and her life, she turns to Hunt for help. The situation triggers Hunt's memories of his life at war and his past relationship with Teddy. Meanwhile, Callie and Arizona have a difference in opinion on what their future holds, and Richard tries to adjust to his role as a surgeon."
Season 6,121,19,"""Sympathy for the Parents""",https://greysanatomy.fandom.com/wiki/Sympathy_for_the_Parents,"April 1, 2010",9.87,"When Alex's younger brother, Aaron, shows up at Seattle Grace-Mercy West with a hernia, it's up to Alex to get Bailey's approval for his pro bono surgery. Matters are further complicated when Aaron discloses that his family has not heard from Alex since he arrived in Seattle, and parts of Alex's past long kept secret are revealed to his friends and fellow doctors."
Season 6,122,20,"""Hook, Line and Sinner""","https://greysanatomy.fandom.com/wiki/Hook,_Line_and_Sinner","April 29, 2010",10.47,"Sloan returns to Mark's apartment, just as she's going into labor, and Teddy, Mark and the still-fighting Callie and Arizona are there to help with the birth and to get Mark through his grandson's pending adoption. Meanwhile Teddy sees Derek's invitation to illustrious cardiothoracic surgeon Tom Evans' as a threat to her future employment at the hospital, and the team work on a crab boat captain who has been stabbed with a giant shark hook."
Season 6,123,21,"""How Insensitive""",https://greysanatomy.fandom.com/wiki/How_Insensitive,"May 6, 2010",11.03,"Bailey preps the team with a mandatory sensitivity training prior to admitting a 700-pound patient with compounded medical issues, and the case proves to be challenging in every sense of the word. Meanwhile, Derek has to come face to face with a former patient's husband in a wrongful death deposition, and spending time with a heart patient's daughter opens up some old wounds for Cristina."
Season 6,124,22,"""Shiny Happy People""",https://greysanatomy.fandom.com/wiki/Shiny_Happy_People,"May 13, 2010",11.05,"An elderly patient admitted into the E.R. for a heart condition sees a familiar face, a long lost love who happens to be in the E.R. as well for a fractured arm, and the staff find themselves caught up in their love story. Meanwhile, Karev treats a troubled teenage patient whose parents brought her in for schizophrenia, and Meredith can't help but tell Cristina about her suspicions of Owen, which inevitably messes with Cristina's head."
Season 6,125,23,"""Sanctuary""",https://greysanatomy.fandom.com/wiki/Sanctuary,"May 20, 2010",13.93,Seattle Grace Hospital is hit with a crisis like no other in its history.
Season 6,126,24,"""Death and All His Friends""",https://greysanatomy.fandom.com/wiki/Death_and_All_His_Friends,"May 20, 2010",16.13,Cristina and Meredith's surgical skills are put to the ultimate test when Derek and Owen get shot.
Season 7,127,1,"""With You I'm Born Again""",https://greysanatomy.fandom.com/wiki/With_You_I%27m_Born_Again,"September 23, 2010",14.32,"The hospital staff is trying to deal with physical and emotional trauma in the wake of the deadly rampage of a vengeful gunman. As Dr. Perkins, a trauma counselor, is brought in to help in the recovery and to assess each doctor's readiness to return to work, Derek makes a spontaneous decision to resign as Chief and rushes back into surgery, taking everything a little too fast, and Cristina buries herself in her wedding planning."
Season 7,128,2,"""Shock to the System""",https://greysanatomy.fandom.com/wiki/Shock_to_the_System,"September 30, 2010",12.53,"After weeks of concealing the fact she was pregnant and miscarried, Meredith at last tells Derek and is finally cleared to return to her surgical duties in the wake of the hospital shooting spree; Cristina experiences post-traumatic stress disorder in the midst of an operation; and Bailey refuses to let Alex operate until he agrees to have the bullet in his chest removed."
Season 7,129,3,"""Superfreak""",https://greysanatomy.fandom.com/wiki/Superfreak,"October 7, 2010",12.75,"When Derek receives an unexpected and unwelcome visit from his estranged sister, Amelia, issues between the siblings -- both past and present -- come to the surface; the Chief tries to help Alex when he notices that he's afraid to use the elevators after his near-fatal shooting; and Meredith and Derek continue their efforts to ease Cristina back into surgery after her post-traumatic stress."
Season 7,130,4,"""Can't Fight Biology""",https://greysanatomy.fandom.com/wiki/Can%27t_Fight_Biology,"October 14, 2010",12.11,"Things are hostile on all fronts when a visit to the obstetrician results in some disturbing news for Meredith and Derek, and Lexie loses it when she notices Meredith and April getting closer. Meanwhile a car crash brings in multiple traumas and Jackson tries using his physical attributes to get ahead in the operating room, while Cristina's self-doubt carries outside of the hospital and into her house hunting with Owen."
Season 7,131,5,"""Almost Grown""",https://greysanatomy.fandom.com/wiki/Almost_Grown,"October 21, 2010",10.97,"As part of their training, the Chief puts Seattle Grace’s residents — including Meredith, Cristina, Alex, April and Jackson — in charge; meanwhile, Derek, Callie, Owen and the other attending surgeons compete for a million-dollar grant."
Season 7,132,6,"""These Arms of Mine""",https://greysanatomy.fandom.com/wiki/These_Arms_of_Mine,"October 28, 2010",10.79,"A documentary film crew visits the hospital six months after the shooting to document the road to recovery for doctors and patients. The camera lenses follow Derek, Owen, Mark, and Callie as they ambitiously perform a rare arm transplant surgery, Meredith helps Cristina put on a brave face for the cameras, and Bailey's patient, Mary, returns for her surgery -- which marks the first time they've all seen of each other since that fateful day."
Season 7,133,7,"""That's Me Trying""",https://greysanatomy.fandom.com/wiki/That%27s_Me_Trying,"November 4, 2010",11.92,"The residents are pushed to their limits when Owen puts them through a rigorous trauma certification drill. Meanwhile, Cristina is also tested when left alone to monitor a very ill lung transplant patient."
Season 7,134,8,"""Something's Gotta Give""",https://greysanatomy.fandom.com/wiki/Something%27s_Gotta_Give,"November 11, 2010",11.13,"Top security measures go into place as a team of doctors, led by the Chief, try to save the life of a major political figure from the Middle East. Meanwhile, Cristina decides to finally decorate her new place and throw a housewarming party, and Alex shows up late from a weekend getaway to his first day of rounds with the new Pediatrics Attending, Dr. Robert Stark."
Season 7,135,9,"""Slow Night, So Long""","https://greysanatomy.fandom.com/wiki/Slow_Night,_So_Long","November 18, 2010",11.46,"Derek lands the grant he needs for his clinical trial and all the attendings take him out to Joe's Bar to celebrate, but they get a surprise when they see someone they know already at the bar. Meanwhile, Meredith and Alex have to fend for themselves during the night shift with a nine-year-old patient who's experiencing post-surgical complications and his very pushy mother."
Season 7,136,10,"""Adrift and at Peace""",https://greysanatomy.fandom.com/wiki/Adrift_and_at_Peace,"December 2, 2010",11.02,"Despite Meredith's objections to the idea, a concerned Derek takes Cristina on a fishing trip in order to get away from it all, while Teddy, feeling directionless without Cristina, directs all of her efforts and compassion towards a dying patient who lacks the proper insurance to seek medical treatment."
Season 7,137,11,"""Disarm""",https://greysanatomy.fandom.com/wiki/Disarm,"January 6, 2011",11.64,"News of the incoming mass causalities after a gunman opens fire at a local college hits the staff hard when they must spring into action, even while their own wounds are still fresh; and Arizona does not receive a warm welcome home at the hospital."
Season 7,138,12,"""Start Me Up""",https://greysanatomy.fandom.com/wiki/Start_Me_Up,"January 13, 2011",12.15,"Arizona seeks Mark's advice as she tries to reconcile with Callie, who has big news of her own. Teddy must make a key decision for Henry during his surgery and on the same day the residents receive a crop of med students to show around, the Chief announces he is looking for a new Chief Resident."
Season 7,139,13,"""Don't Deceive Me (Please Don't Go)""",https://greysanatomy.fandom.com/wiki/Don%27t_Deceive_Me_(Please_Don%27t_Go),"February 3, 2011",11.18,"Derek breaks ground on his Alzheimer's clinical trial and Meredith can't help but feel left out. Bailey's attempt to take the hospital into the age of new media with live tweets from the OR does not go over well with the Chief. Callie, Mark and Arizona must learn to navigate through the pregnancy together, which starts off with Callie driving her new obstetrician crazy."
Season 7,140,14,"""P.Y.T. (Pretty Young Thing)""",https://greysanatomy.fandom.com/wiki/P.Y.T._(Pretty_Young_Thing),"February 10, 2011",10.47,"Thatcher Grey, Meredith and Lexie's father, returns to Seattle Grace with stomach pains and a new, twenty-something tattooed girlfriend, Danielle. Meanwhile, Alex clashes with the new OB, Dr. Lucy Fields, over a patient and Mark places Jackson on his service in exchange for information on Lexie."
Season 7,141,15,"""Golden Hour""",https://greysanatomy.fandom.com/wiki/Golden_Hour,"February 17, 2011",10.24,"Meredith, looking to prove she is Chief Resident material, learns that anything and everything can happen in an hour's time when she steps up to run the ER for a night. Meanwhile, Bailey sneaks off with Eli and gets into a little mischief, and everyone is surprised when the Chief's wife, Adele, shows up as one of the ER patients."
Season 7,142,16,"""Not Responsible""",https://greysanatomy.fandom.com/wiki/Not_Responsible,"February 24, 2011",9.13,"Meredith must choose between her fertility treatments and her eyesight when she begins having trouble seeing, Mark makes it clear to Callie and Arizona that he takes his role as father-to-be very seriously, and April discovers there's more to Dr. Stark than first appears."
Season 7,143,17,"""This is How We Do It""",https://greysanatomy.fandom.com/wiki/This_is_How_We_Do_It,"March 24, 2011",10.28,"Richard is desperate for Derek and Meredith to accept Adele into their Alzheimer's trial, but will Adele stand in her own way? Meanwhile Mark and Arizona have conflicting ideas of the kind of baby shower Callie wants, Teddy is freaked out when Henry has another health complication -- leaving them both a little exposed -- and the competitiveness among the residents for the Chief Resident position is amplified when Richard receives the green light for his diabetes clinical trial."
Season 7,144,18,"""Song Beneath the Song""",https://greysanatomy.fandom.com/wiki/Song_Beneath_the_Song,"March 31, 2011",13.09,"A cataclysmic event shakes the doctors of Seattle Grace to the core, as Callie, on the verge of a life-changing moment with Arizona, envisions her hospital and friends as they have never been seen before."
Season 7,145,19,"""It's a Long Way Back""",https://greysanatomy.fandom.com/wiki/It%27s_a_Long_Way_Back,"April 28, 2011",10.67,Everyone pulls together to help Callie and baby Sofia on their painstaking journeys to recovery in hopes of allowing mother and baby to finally meet. The sudden death of a clinical trial patient has Derek proceeding with more caution while Meredith makes a calculated and risky move. Alex treats a cranky old rich woman dying of cancer and gets an idea for a grandiose endeavor that is sure to get him the Chief Resident spot and Teddy is pleasantly surprised by the return of a familiar face.
Season 7,146,20,"""White Wedding""",https://greysanatomy.fandom.com/wiki/White_Wedding,"May 5, 2011",10.11,"As Callie and Arizona's wedding approaches, the couple quickly realize that the day they've been looking forward to is not turning out the way they'd envisioned. Meanwhile Alex continues to make the other residents jealous as he appears to be the top contender for Chief Resident, Meredith and Derek make a decision that will change their lives forever, and Dr. Perkins presents Teddy with a very tempting proposition."
Season 7,147,21,"""I Will Survive""",https://greysanatomy.fandom.com/wiki/I_Will_Survive,"May 12, 2011",9.63,"Personal and work pressures are adding up and have Meredith visibly on edge, Owen conducts formal interviews for the Chief Resident position, Cristina grows increasingly defiant, Alex and Lucy's undefined relationship gets tested, and Jackson suddenly backs out of the Webber's diabetes trial."
Season 7,148,22,"""Unaccompanied Minor""",https://greysanatomy.fandom.com/wiki/Unaccompanied_Minor,"May 19, 2011",9.89,"News of Meredith's dishonesty in the clinical trial comes to light, leading to unanticipated consequences for both her and others. Cristina finds herself in a compromising situation, which forces her to decide between her career and her relationship. Meanwhile, Owen posts his decision for chief resident and Teddy makes a surprising choice regarding her love life -- and her future."
Season 8,149,1,"""Free Falling""",https://greysanatomy.fandom.com/wiki/Free_Falling,"September 22, 2011",10.38,The fifth-year residents return for the first day of a year that will make or break their careers: Meredith faces the consequences of tampering with Derek's clinical trial and is terminated at the hospital. April tries to step up to the plate as Chief Resident in the wake of a giant sinkhole in the middle of Seattle and Cristina and Owen are still at odds over their drastically different feelings for their unborn child.
Season 8,150,2,"""She's Gone""",https://greysanatomy.fandom.com/wiki/She%27s_Gone,"September 22, 2011",10.38,"News of Meredith and Derek's unsteady relationship raises a red flag for Zola's adoption counselor. Alex quickly realizes that he has become the outcast of the group after ratting out Meredith and Cristina makes a tough decision regarding her unexpected pregnancy. Also, Chief Webber brings Henry in for a last minute surgery, alarming Teddy."
Season 8,151,3,"""Take the Lead""",https://greysanatomy.fandom.com/wiki/Take_the_Lead,"September 29, 2011",10.2,"The Chief makes a career-changing decision that shocks Seattle Grace Mercy West Hospital. Cristina and Owen try to find normalcy in their relationship. April continues to struggle in her new role and the 5th year residents are given their first solo surgeries, only to find out that even the most routine procedures aren't always easy."
Season 8,152,4,"""What is It About Men""",https://greysanatomy.fandom.com/wiki/What_is_It_About_Men,"October 6, 2011",8.7,"The doctors of Seattle Grace are called upon to man up when a stampede at a comic book convention causes an influx of colorful characters in the ER-blurring the lines of fantasy and reality. Mark shows his softer side with baby Sofia when Arizona and Callie go out of town, but at work he continues to give Jackson a hard time. Ben returns to the ER, only to find that Nurse Eli has moved in on Bailey and the male doctors bond over their frustrations with women."
Season 8,153,5,"""Love, Loss and Legacy""","https://greysanatomy.fandom.com/wiki/Love,_Loss_and_Legacy","October 13, 2011",9.97,"The residents try their hardest to impress surgical greatCatherine Avery-who also happens to be Jackson's mother-when she arrives at Seattle Grace to perform a groundbreaking transplant surgery. Arizona and Alex find their hands tied with a confidentiality issue when a familiar patient comes into the ER. Meanwhile, a love-struck Teddy throws a dinner party for the couples, and Bailey makes a decision regarding her love life."
Season 8,154,6,"""Poker Face""",https://greysanatomy.fandom.com/wiki/Poker_Face,"October 20, 2011",9.54,"After being blackballed by most of the surgeons, Meredith uses Lexie to spark Derek's interest in her patient's rare brain tumor case and, in secret, gives guidance to April with Bailey's clinical trial. Callie's wish for Arizona and Mark to form a friendship comes to fruition and she realizes it's more irritating than helpful. Alex and Teddy research alternative surgeries for a very superficial patient and Callie and Cristina struggle with a very difficult spinal surgery."
